,query_id,query_text,category,target_person_id,difficulty
4650,query_5662,"Looking for a sr. front- end developer with build reusable code templates, code, and libraries for future use and a background in b.a. in information technology.",BE,5662,standard
14328,query_17751,"Looking for a python developer with python 3.1x, django 1.4, and java and a background in bachelors in information science engineering.",BE,17751,standard
13972,query_17242,"sr. network administrator experienced in cisco infrastructure, esxi upgrade, and unitrends backups and holding bachelor's in information technology.",NETSEC,17242,standard
9251,query_10873,"Candidate for a systems engineer role, strong in onsite support, administration, and technology maintenance and educated in bachelor's in computer & network security.",BE,10873,standard
10370,query_12097,"Looking for a software developer sr associate iii with cobol, database, and database systems and b.s. degree in cyber forensics and information security plus strong communication skills and a focus on continuous improvement.",BE,12097,hard
3067,query_3701,"senior software engineer experienced in algolia, react.js, and redux.js and holding biology & neuroscience.",BE,3701,standard
11100,query_13593,"Looking for a senior software engineer with wcf, wpf, and c# and a background in m.s.e.e..",BE,13593,standard
6001,query_7238,"it audit manager who can work with it audit, fisma, and cisa, holds bachelor of science in accounting and information systems, and has the ability to mentor junior staff and document processes clearly.",OTHER,7238,hard
7038,query_8388,"Looking for a it project coordinator with sdlc, agile, and jira and a background in m.c.e. in international construction and project management.",OTHER,8388,standard
11947,query_14764,"field technician experienced in network systems, servers, and phone system and holding bachelor's in information systems security.",OTHER,14764,standard
12195,query_15076,"Looking for a account manager with scheduling and coordinating domestic and international shipments, edi transmissions, and inventory management and a background in english.",OTHER,15076,standard
9406,query_11046,"senior network engineer - advisor who can work with cisco aci, cisco nexus 9000, and cisco firepower 4120, holds mechanical engineering, and has strong communication skills and a focus on continuous improvement.",NETSEC,11046,hard
6294,query_7564,"Looking for a senior project manager (contractor) with capital planning, project prioritization, and stakeholder management and a background in ba in management information systems.",PM,7564,standard
12052,query_14897,"systems engineer experienced in vmware, virtualization, and hyper-v and holding computer science networking degree.",BE,14897,standard
8238,query_9715,"Senior it security analyst with nist sp 800-53rev4, nist sp 800-60, and nist sp 800-18, educated in bachelor of science, and strong communication skills and a focus on continuous improvement.",NETSEC,9715,hard
11208,query_13730,"Looking for a full stack java with java, j2ee, and spring and a background in master's.",OTHER,13730,standard
2699,query_3255,"Candidate for a software developer & integrator role, strong in html, css, and javascript and educated in bachelor of science in electrical engineering.",BE,3255,standard
6560,query_7848,"Looking for a volunteer - pv designer with pv designer, project manager, and it support and b.a. plus experience working in agile teams and cross-functional projects.",OTHER,7848,hard
14462,query_18106,"Candidate for a java developer role, strong in java servlets, mysql, and html and educated in associates in computer science.",BE,18106,standard
1104,query_1333,"Senior it analyst with sql db, sql, and sharepoint, educated in master of science in management information system, and experience working in agile teams and cross-functional projects.",OTHER,1333,hard
5372,query_6548,"Looking for a sr staff with dynamodb, elasticsearch, and hadoop and master of science in information technology management in design methods plus experience working in agile teams and cross-functional projects.",OTHER,6548,hard
3210,query_3897,"Looking for a front end developer with blue js (internal frameworks), ajax, and html5 and a background in btech cs in cs.",FE,3897,standard
6926,query_8267,"Candidate for a it project manager role, strong in agile, waterfall, and project management and educated in mba in it management.",PM,8267,standard
4461,query_5436,"Looking for a web developer with html, sass, and js and a background in computer science.",BE,5436,standard
9955,query_11636,"it tutor experienced in firewall, visual studio, and c# and holding associates of applied science in applied science.",OTHER,11636,standard
6197,query_7459,"Candidate for a it consultant role, strong in it, enterprise, and installation and educated in b.s. in information technology.",OTHER,7459,standard
3410,query_4169,"Candidate for a city driver role, strong in deliver to residential and commercial locations, use a manual pallet jack to unload at customer's location, and drive to multi-stop routes and make deliveries of hazmat freight and educated in cdl.",OTHER,4169,standard
8189,query_9660,"Looking for a it security analyst with aws, cloud computing, and ec2 and master of security science in security science plus the ability to mentor junior staff and document processes clearly.",NETSEC,9660,hard
5037,query_6187,"Looking for a it operations manager with windows networks, windows servers, and active directory and a background in bachelor of science in information technology in advanced networking certificate.",OTHER,6187,standard
2243,query_2644,"Candidate for a it internship role, strong in quagga, cisco, and juniper routers and educated in bachelor of arts in information technology in network.",OTHER,2644,standard
12651,query_15623,"Looking for a network administrator with routing, switching, and troubleshooting tcp and a background in diploma in posts and telecommunications.",NETSEC,15623,standard
12074,query_14921,"Candidate for a network administrator role, strong in security, sales, and business process improvement and educated in mba in marketing.",NETSEC,14921,standard
10113,query_11807,"Looking for a senior consultant with security assessment & authorization (sa&a), cybersecurity, and information assurance (ia) and a background in master of science in cybersecurity management.",OTHER,11807,standard
2993,query_3618,"Candidate for a angular2 software developer role, strong in angular, typescript, and tachyon and educated in master of science in engineering in engineering.",BE,3618,standard
2745,query_3314,"Looking for a front end developer with html, css, and aem 6.1 and a background in bachelor of fine arts in digital media.",FE,3314,standard
9497,query_11147,"Candidate for a it generalist contractor role, strong in security control assessor (soa), beyondtrust information risk scans, and risk assessment and educated in aa in specialized business systems.",OTHER,11147,standard
6343,query_7621,"director experienced in it governance, portfolio management, and erp and holding ms in level certificate.",OTHER,7621,standard
11101,query_13595,"sr. manager who can work with program delivery, scaled agile digital transformation, and coaching, holds m.s. in computer science, and has the ability to mentor junior staff and document processes clearly.",OTHER,13595,hard
13615,query_16793,"network engineer experienced in active directory, cisco, and dns and holding certification in security.",NETSEC,16793,standard
13191,query_16270,"Senior network administrator with network administration, user training, and helpdesk, educated in as in criminology, and a proven track record of delivering complex projects on time.",NETSEC,16270,hard
9259,query_10881,"it support technician ii experienced in ad, ds knowledge, and network and troubleshooting experience and holding bachelor's degree in computer science.",IT,10881,standard
5743,query_6960,"consulting systems engineer experienced in understanding client's business, proactive solutions, and automation and holding bachelor of science in agricultural economics in business and computer science.",BE,6960,standard
6307,query_7577,"it senior project manager experienced in managed multiple initiatives, organized requirements intake, and facilitated meetings and holding master of science in information systems.",PM,7577,standard
13990,query_17263,"developer experienced in ruby, ruby on rails, and active record and holding bachelor of science in computer science.",BE,17263,standard
8911,query_10488,"it implementation engineer experienced in agile project management, itil process, and new school development and holding ccna.",BE,10488,standard
12640,query_15609,"sales engineering manager experienced in ethernet, atm, and ppp and holding b.a. in computer & management studies.",BE,15609,standard
12744,query_15746,"Looking for a service advisor with customer service, sales, and automotive technologies and a background in ccna certification.",OTHER,15746,standard
1092,query_1318,"Looking for a raiser's edge donor database administrator with raiser's edge, donor database, and gift entry and a background in b.a. in cinema history.",DBA,1318,standard
14054,query_17341,"Candidate for a system administrator role, strong in iis, active directory, and powershell and educated in master's of computer engineering in computer engineering.",NETSEC,17341,standard
12308,query_15208,"Candidate for a cyber security associate analyst role, strong in monitoring, detecting, and scanning and educated in associates degree in network administration.",OTHER,15208,standard
9263,query_10887,"Candidate for a it support specialist role, strong in it service management, infrastructure & application support, and incident management and educated in bachelor's degree in accounting and finance.",IT,10887,standard
10818,query_13035,"Looking for a senior developer with development of client server applications, 3-tier architecture applications, and design patterns and a background in mca in bank.",BE,13035,standard
12034,query_14874,"network - system engineer iv; lead solutions engineer who can work with network, system engineer iv, and lead solutions engineer, holds master of science in computer information technology, and has strong communication skills and a focus on continuous improvement.",BE,14874,hard
9537,query_11196,"Looking for a quantitative with c#, linq, and html and a background in masters of engineering in computer science.",OTHER,11196,standard
4846,query_5955,"ui developer (consultant) who can work with html5, css3, and javascript, holds master's degree in electrical engineering, and has strong communication skills and a focus on continuous improvement.",FE,5955,hard
3943,query_4791,"lead front end developer experienced in java, j2ee, and spring and holding bachelors in electronics and communication engineering.",FE,4791,standard
4127,query_5013,"Candidate for a sr. front- end developer role, strong in java, j2ee, and spring and educated in ms.",BE,5013,standard
2625,query_3167,"Looking for a front end developer with javascript, html, and css and a background in bachelor's degree in computer science.",FE,3167,standard
7500,query_8879,"Looking for a project manager with lead, conduct risk analysis, and guide internal calls and a background in bachelors of science in global it project management.",PM,8879,standard
5920,query_7149,"it technical project manager experienced in cyber security, windows, and vulnerability remediation and holding business administration.",PM,7149,standard
8996,query_10587,"Candidate for a sr. mgr. role, strong in cobit, information security, and iso and educated in master of professional science in information science.",OTHER,10587,standard
12699,query_15691,"Looking for a network administrator with voip network, security cameras, and access control and a background in associate in computer networking and troubleshooting.",NETSEC,15691,standard
9117,query_10726,"Looking for a chief information security officer (ciso) with information security policy, information security framework, and fdic ffiec and a background in bachelor of science in electrical engineering.",NETSEC,10726,standard
11018,query_13483,"Looking for a salesforce admin with salesforce.com platform, service cloud, and visual force (pages and bachelor's in computer science plus strong communication skills and a focus on continuous improvement.",CRM,13483,hard
11363,query_13945,"Candidate for a java role, strong in java, j2ee design patterns, and hibernate and educated in bachelor's degree in mechanical engineering.",OTHER,13945,standard
13460,query_16598,"Candidate for a senior linux administrator role, strong in perform tasks of senior security administrator, perform dedicated server tasks, and receive escalations and resolve systemic issues and educated in high school diploma.",OTHER,16598,standard
11858,query_14650,"Candidate for a lan administrator - (comptia network+ role, strong in desktop engineer, local network administrator, and ticket-based support and educated in bachelor in information technology and cybersecurity.",OTHER,14650,standard
9110,query_10719,"Candidate for a support specialist role, strong in desktop support, o365 configuration, and inbound phone support and educated in regents diploma.",IT,10719,standard
1872,query_2212,"Looking for a database administrator with microsoft sql server database administration, html, and xhtml and a background in bachelor of science in management information system.",DBA,2212,standard
3313,query_4044,"web designer experienced in organized and tracked shipments and deliveries for customers, managed employees, and bookkeeping and holding bachelor of fine arts in visual communication.",FE,4044,standard
13048,query_16109,"systems & network administrator experienced in email & database servers, network equipment, and firewall and holding bachelors of arts in anthropology.",NETSEC,16109,standard
729,query_862,"Looking for a database administrator with oracle 12c, oracle 11gr1&2, and oracle 10g and a background in bachelor of science.",DBA,862,standard
14299,query_17679,"contract engineer ii experienced in python 2.7, tornado-flask, and javascript and holding chemical engineering.",BE,17679,standard
9854,query_11532,"Candidate for a senior system analyst (epic inpatient role, strong in optime, ambulatory, and security and access and educated in bachelor of science in information science.",OTHER,11532,standard
12458,query_15383,"Candidate for a network administrator role, strong in active directory, customer service, and networking and educated in associate in computer science - networking.",NETSEC,15383,standard
533,query_636,"Candidate for a senior sql server role, strong in database, sql server, and oracle and educated in bachelor of science in instrument design and maintenance.",OTHER,636,standard
12740,query_15742,"Looking for a account manager with managing client account, billings and contract renewal, and sales and bachelor of science in communications plus experience working in agile teams and cross-functional projects.",OTHER,15742,hard
6887,query_8219,"Candidate for a it project manager role, strong in software development, structured software, and assurance analyst and educated in master's in computer information systems.",PM,8219,standard
11687,query_14384,"Looking for a fullstack java developer with java, j2ee, and spring and bachelor's in engineering plus a proven track record of delivering complex projects on time.",BE,14384,hard
7896,query_9325,"Looking for a rsc rep iv with customer support, coordination, and scheduling and a background in aa degree in general studies.",OTHER,9325,standard
1161,query_1396,"Looking for a infrastructure engineer with ms sql server database administration, physical database design, and architecture and a background in bachelor of science in computer science.",BE,1396,standard
10190,query_11891,"Candidate for a windows 10 migration technician role, strong in software center programs, auto-login accounts, and windows 10 imaging and educated in bachelor of science in criminal justice.",OTHER,11891,standard
12554,query_15498,"Candidate for a network support engineer role, strong in routers, firewalls, and servers and educated in aas in cad applied sciences.",BE,15498,standard
9316,query_10945,"delivery project executive - security services who can work with managed security services, managed siem, and compliance, holds b.s. in management information systems, and has experience working in agile teams and cross-functional projects.",OTHER,10945,hard
14091,query_17382,"Looking for a sr. systems administrator with physical architecture, virtual environment migration to cloud azure, and vmware and a background in b.s in information technology.",NETSEC,17382,standard
